,id,text,author_id,lang,withheld,geo
3,1389462566338842625,RT @paiiige: The most deranged yet delightful thing  I read today is that some anti-maskers/vaxxers are now wearing masks out of fear that…,1191867834,en,,
4,1389462566238228481,"RT @HighWireTalk: A #Highwire exclusive, 3 healthcare workers who were on the #frontline of Covid vaccine rollouts in America. Hear what ha…",3194789395,en,,
5,1389462565940600832,"RT @wolfofnewstreet: Hmm, abeg what did Melinda find out? I've already taken the vaccine o, hay God",966354894033752065,en,,
6,1389462564023771140,@Tmt281knilb It's not gene therapy. If that vaccine were gene therapy it would be the holy grail of medicine. Gene editing on an adult? Curing all genetic diseases? The fact that it protects against Covid would be a footnote. I'm guessing you failed biology.,3340522241,en,,
7,1389462563218501636,RT @PeterMcCormack: Vaccines work.,1389460328648433672,en,,
8,1389462563172331526,"RT @mikegalsworthy: It’s just back to back lies.

European Super League: Explain why the were no German teams, then. Half the teams were En…",947592964020277248,en,,
9,1389462562580828164,"RT @FOBAnantnag: #IndiaFightsCorona:

#COVID19Vaccination Status (As on 4th May, 2021, 8:00 AM)

✅Total vaccine doses administered (so far)…",4832518570,en,,
0,1389462561670709248,"RT @GravelInstitute: Here's Joe Biden in 2020 explicitly promising that he would waive vaccine patents as President.
https://t.co/HZCvjpJD3D",1309026904104734720,en,,
1,1389462560978739200,RT @karthik2k2: Check out my latest article: How did India become a vaccine superpower https://t.co/d3Lt4cuTX9 via @LinkedIn,1101533776402890752,en,,
2,1389462560932519937,"RT @CEO_HZL: In such distressed times, we all must come together &amp; do our bit. I urge you all who are above the age of 18 years to register…",40400019,en,,
3,1389462560395579393,"RT @Haraprasad_: India has approx 80 crore adult population &amp; to fully vaccinate them all, we need to administer 160 crore vaccines. At the…",951096266,en,,
4,1389462559741382656,"RT @vicksiern: If we allow Democrats to force us to take the Covid-19 vaccine,  will they force us to do other things we don't want to do?",2447902554,en,,
5,1389462558134788101,"RT @DrHarjitBhatti: We need new public funded healthcare system not PM house or parliament. We need to prioritise healthcare, people are dy…",81350099,en,,
6,1389462557883240450,"RT @AmyKosari: @JenniferSey @naomirwolf We have masked them without considering the harms, we have taken away the lifeline of school for th…",1134917958893998080,en,,
7,1389462557056974848,"RT @celiebugpro: @leeicewitz1 America asked me to serve my country by getting a vaccination. I responded with ""yes"". I did my patriotic dut…",973681567724900353,en,,
8,1389462556243333121,RT @Thatadityaiyer: A key figure and organisation in Boris's newly-announced £1bn trade deal with India is Adar Poonawalla and the Serum In…,4503261502,en,,
9,1389462555647696896,"@alanvibe Sadly its not about fairness or evidence.

Like with vax passports its a 'carrot' to entice people to sign up 

Or,as i see it

A stick to beat people into submission

Like vax passports- divisive&amp;pointless

https://t.co/XhzsD0ZS0D

Another protest planned
https://t.co/iF8vcxdnnR",1725119731,en,,
0,1389462555450494978,"RT @Showbiz_IT: #YRF to sponsor #Covid19 vaccines for 30k registered workers of #FWICE
https://t.co/Lw4w5CeoMZ",1073676020,en,,
1,1389462554980732929,"RT @jaysaran: TPBS สรุปเรื่อง vaccine

Moderna เอกชนเอาเข้าจ่ายเอง
Pfizer ถ้าได้ฉีดในเด็กก่อน
AZ Sinovac ตัวยืน
AZ ให้ในอายุมากกว่า 60
Sput…",1300390840901066752,th,,
2,1389462554263576581,RT @QasimRashid: Lift the vaccine patents. Make them free worldwide. It is the only humane &amp; logical thing to do. https://t.co/XTYuD9xTF8,1154983289247154182,en,,
3,1389462554045464577,"RT @khan_IIII: As for populism, the government sought to squeeze the private sector using price controls. Vaccine manufacturer Serum Instit…",1322284038095314945,en,"{'copyright': False, 'country_codes': ['IN']}",
4,1389462553944723458,"If one has to go for paid vaccination, then shouldn't he/she wait for Pfizer vaccine which has better results than Covishield and covaxin?",4859394119,en,,
5,1389462553907060740,"RT @IndiaToday: People wait for hours in long queues outside vaccination centres in Delhi. 
Watch @AneeshaMathur's #ReporterDiary for more…",1073676020,en,,
6,1389462553646960643,"@CalamityJayne4 @rainnwilson Act like he didn't get any, but during the one on one he'd admit to the camera that he got all seven

Creed would later in the episode make some racist joke about how he got the Chinese vaccine",870099858853515264,en,,
7,1389462552632078337,"RT @capt_amarinder: Our vaccine stocks stand depleted at less than 50,000. Centre’s allocation for May 1-15 is only 6 lakh doses, i.e. @40K…",854278547283824640,en,,
8,1389462551533064195,@iglinski_p @paulapoundstone @NewsHour The point is we have a number of vaccines now.  Get one.  Get Pfizer if you like that Trump had nothing to do with it.  Get the J&amp;J because it's one-and-done.  I don't care.  Just pick one and get it.  People are still dying in America.,810106940869185536,en,,
9,1389462550400552962,@crchaudharymos नागौर/ Mundwa मे 18 से 44 की उम्र वाले वयस्कों को vaccine कब उपलब्ध होगी सर #Mundwa #Nagaur #VaccineFor18Plus waiting for vaccine #VaccineRegistration @mukeshdabimundw,457862181,und,,
0,1389462550182457349,@Kushal_Sheth_ @Lunatic__Boi @kunalkamra88 Khali India me ban rahi h 80 percent components USA se aa rha h aur vaccine technology patent Swedish company AstraZeneca k paas h. So covidshield is also not so Indian as you think.,274868959,en,,
1,1389462549863845889,"RT @SurrbhiM: 1st May was announced to restart the vaccine drive , but it was announced without any planning .

 #WhereAreVaccines",1319169187911262208,en,,
2,1389462548773175301,RT @davidmackau: wow the government is offering every person who gets a vaccine the ability not to die from covid,597219629,en,,
3,1389462548395790344,RT @Conservatives: More than 50 MILLION doses of coronavirus vaccine have been administered across the UK 🇬🇧💉 https://t.co/UD64JLmddp,1363673491,en,,
4,1389462548098002944,"RT @shubhshaurya1: @adarpoonawalla escaped to London citing threats from politicians &amp; buisness people.
He clearly said, shortage will cont…",2555286540,en,,
5,1389462548072837125,RT @NachoPicasso: I wish they worked this hard on the aids Vaccine back in the day!🤷🏽‍♂️,1022000418090561536,en,,
6,1389462547305164800,"RT @PIB_India: Govt. of India has so far provided more than 16.69 crore vaccine doses to States/UTs Free of Cost

More than 75 lakh doses a…",780102102295023616,en,,
7,1389462547145781248,@JPNadda @narendramodi Luvdo waha hindu mar rahe hai.. Tunhare supporters mar rahe hai aur tunh yaha vaccine ka chutiyapa tweet kar rahe ho.. Bl0ody naada chadda..!,723090530759008256,hi,,
8,1389462546625617926,RT @Cow__Momma: Didn’t Prakash Javdekar say that vaccine wastage is 6% in Maharashtra? Here govt.’s official press release says it’s 0.22%.…,141499967,en,,
9,1389462546051108866,"RT @wolfofnewstreet: Hmm, abeg what did Melinda find out? I've already taken the vaccine o, hay God",401872805,en,,
0,1389462545384284164,RT @NIHRtakepart: NEW COURSE 🚨 Discover how the NHS and UK scientists worked together to develop the COVID-19 vaccines and treatments throu…,571687583,en,,
1,1389462545216327683,"RT @CNNPostingLs: ""the vaccines are so good that we're gonna beat your ass until you take it"" https://t.co/Zr06xYeixs",87586011,en,,
2,1389462545161883650,Please get your vaccine here. https://t.co/twdkcnH9q8,348424439,en,,
3,1389462545120079876,"RT @mukeshmarda: #WhereAreVaccines

Instead of providing vaccines BJP govt has started giving return gifts to it's voters. Petrol &amp; diesel…",886576262537465856,en,,
4,1389462545111474179,RT @nanaicez: Vaccine Tourism ประเทศที่รอคอยมากที่สุดคือ ญี่ปุ่นกับเกาหลี,1255799776995454976,th,,
5,1389462544390053890,"RT @nytimes: As the coronavirus evolves and the vaccine rate slips, the U.S. may never reach the threshold for “herd immunity,” public heal…",1000821679,en,,
6,1389462544130002945,RT @Tatamiroom1: @robferguson1 @l_stone Were those of us trying to do the right thing and get the first vaccine we were eligible for (AZ) j…,1320102248341409793,en,,
7,1389462543119261698,"The positivity rate &amp; number of deaths are increasing in the state. Now, the infection has started to spread to the rural areas. Except for the frontline workers, people over 18 years of age are not being vaccinated as we don't have enough vaccines: #Punjab Health Min BS Sidhu",3303023034,en,,
8,1389462542695682048,RT @rohini_sgh: Dear @drharshvardhan- if you are done with your chaaplusi and low level trolling can you inform citizens why hasn’t the Pfi…,1371469187198062593,en,,
9,1389462542498504708,RT @ASCALON_dnity: สรุปคือฉีดได้นะ แต่ต้อง observe 30 - 45 นาที และกลุ่มที่มีประวัติแพ้สารก่อภูมิแพ้รุนแรงก็ต้องมีการประเมินความเสี่ยงก่อนแ…,1344614478944473088,th,,
0,1389462541978390532,RT @wanbasmu: Singaporean celebrities promoting vaccine. Malaysian celebrities promotes how to breach the SOP. Repetitively.,392451542,en,,
1,1389462541198413827,RT @RealJoelSmalley: https://t.co/SZPjzID1i9,964840730,und,,
2,1389462540569042944,"RT @jaysaran: TPBS สรุปเรื่อง vaccine

Moderna เอกชนเอาเข้าจ่ายเอง
Pfizer ถ้าได้ฉีดในเด็กก่อน
AZ Sinovac ตัวยืน
AZ ให้ในอายุมากกว่า 60
Sput…",269613604,th,,
3,1389462539734446084,"RT @jaysaran: TPBS สรุปเรื่อง vaccine

Moderna เอกชนเอาเข้าจ่ายเอง
Pfizer ถ้าได้ฉีดในเด็กก่อน
AZ Sinovac ตัวยืน
AZ ให้ในอายุมากกว่า 60
Sput…",483280897,th,,
4,1389462539424108544,RT @means_tv: Oxford University planned to release its COVID-19 vaccine for free but was urged to reconsider by the Bill and Melinda Gates…,4839432887,en,,
5,1389462538903900166,RT @nanaicez: Vaccine Tourism ประเทศที่รอคอยมากที่สุดคือ ญี่ปุ่นกับเกาหลี,1273305899021393920,th,,
6,1389462538551808002,RT @ASCALON_dnity: วัคซีนโควิดของ Pfizer กับ Moderna เป็น mRNA vaccine ไม่ปลอดภัยสำหรับคนที่เคยมีอาการแพ้แบบรุนแรง (anaphylaxis) หรือมีการแ…,904391828916510720,th,,
7,1389462538522447874,"RT @EngineerMeer1: Modi for his own PR used the vaccines as propaganda and sent it to foreign countries.

Now the whole country is afflicte…",2330361642,en,,
8,1389462538375598080,RT @koenfucius: Vaccination changes behaviour—study by @Chris_Auld &amp; @toxvaerd1 using Google Mobility data in 112 countries finds vaccinati…,1239752197,en,,
9,1389462538362834945,RT @rohini_sgh: Dear @drharshvardhan- if you are done with your chaaplusi and low level trolling can you inform citizens why hasn’t the Pfi…,127248306,en,,
0,1389462538329329668,"RT @chetan_bhagat: 200 crore doses = 2 billion doses

Premium price vaccine: $10-$15/dose

Total bill: $20-$30bn.

India's foreign reserves…",1370015369277095938,en,,
1,1389462538103017472,@BigSuis Vacciné ou pas au moins vous êtes con .,2723375605,fr,,
2,1389462538065170432,"RT @arunava: We need a clear, articulated vaccine plan, month on month, week on week, to show how everyone will be vaccinated. Requirement…",855498692660535297,en,,
3,1389462536895016963,"RT @nytimes: Immunizing most of humanity in short order is a monumental task, one never attempted before, and one that experts have said th…",31585171,en,,
4,1389462535917690883,"My deepest #Condolences to those who lost family members, relatives, and friends due to #COVID19. May you find peace during this trying time.

@HealthZA #HealthMinister 
@DrZweliMkhize @CyrilRamaphosa
@GovernmentZA #CoronaVirus #Vaccine #VaccineStrategySA

IMAGE: 
@HealthZA https://t.co/u6oOFbQ5wo",1293819377494700033,en,,
5,1389462535766614016,"RT @andmichaelgreen: ""We need a slogan to convince people to take the vaccine.""

""Hmm how about, 'You won't die from Covid'?""

""They don't…",34157333,en,,
6,1389462535053713408,RT @nanaicez: Vaccine Tourism ประเทศที่รอคอยมากที่สุดคือ ญี่ปุ่นกับเกาหลี,1336103810528243713,th,,
7,1389462534462210049,"RT @ChitnisPurva: Drive in vaccination centre in Mumbai for senior citizens and specially abled people. 

Location- Dadar

@DighavkarKiran…",764123,en,,
8,1389462533732388869,RT @coreyhogan: Successfully blaming the federal government/vaccine rollout for our current situation requires Albertans to be unaware ther…,1293059923862073344,en,,
9,1389462532809650181,My second vaccine Is tomorrow!!!!😬,1346943835121754115,en,,
0,1389462531912179713,"When the very people who refuse to wear face masks, social distance or wash hands are the very same people refusing to get vaccine jabs, we have all the elements of a pandemic disaster. When it seems that only a sign from god will possibly change their choices, expect the worst. https://t.co/CYkusmEFe7",22394328,en,,
1,1389462531647836163,RT @ASCALON_dnity: วัคซีนโควิดของ Pfizer กับ Moderna เป็น mRNA vaccine ไม่ปลอดภัยสำหรับคนที่เคยมีอาการแพ้แบบรุนแรง (anaphylaxis) หรือมีการแ…,1355605514147692545,th,,
2,1389462531060772866,@Flyer56488 Vaccines must be effective but looks like the percentage is miscalculated currently.,1329534186,en,,
3,1389462530179833862,"People wait for hours in long queues outside vaccination centres in Delhi. 
Watch @AneeshaMathur's #ReporterDiary for more details 

#CovidVaccine #COVID19 #Vaccine 
 More Videos: https://t.co/FAHzdk9TO8 https://t.co/QrCCtmmtCC",19897138,en,,
4,1389462529991012353,RT @nanaicez: Vaccine Tourism ประเทศที่รอคอยมากที่สุดคือ ญี่ปุ่นกับเกาหลี,71211437,th,,
5,1389462528866934788,"RT @ankitrathore020: @dmhardoi @CMOfficeUP @InfoUPFactCheck @UPGovt @InfoDeptUP Sir, there is no appoint available for vaccination for the…",3915673933,en,,
6,1389462528363749376,RT @anthonycwalker: but if bill and melinda gates split up who will control the vaccine chips? we need to know,438593193,en,,
7,1389462527319412736,"I'd need a vaccine, I never want to go through a divorce. https://t.co/SVYaFJj4Pj",212334804,en,,
8,1389462526455209988,"RT @jaysaran: TPBS สรุปเรื่อง vaccine

Moderna เอกชนเอาเข้าจ่ายเอง
Pfizer ถ้าได้ฉีดในเด็กก่อน
AZ Sinovac ตัวยืน
AZ ให้ในอายุมากกว่า 60
Sput…",1272711417922064386,th,,
9,1389462526027460610,"RT @LoPIndia: While most nations were procuring millions of vaccine doses, PM @narendramodi :

- Was wantonly exporting vaccines for his ow…",830443037889228800,en,,
0,1389462526014885890,"RT @jaysaran: TPBS สรุปเรื่อง vaccine

Moderna เอกชนเอาเข้าจ่ายเอง
Pfizer ถ้าได้ฉีดในเด็กก่อน
AZ Sinovac ตัวยืน
AZ ให้ในอายุมากกว่า 60
Sput…",1152812489609867264,th,,
1,1389462525775843331,"@armadillofancyp @amyklobuchar @mmpadellan Would not recommend, it will dilute vaccine quality to 'made in china' knockoffs.",1384353551883800579,en,,
2,1389462525373153282,"RT @ChKalyanKumar9: @manoj15715404 @Sanju_Lakshya Effected people are more immune than the vaccine takers.
I belive if we get 10lak cases a…",1236207828160761857,en,,
3,1389462524676956163,RT @ASCALON_dnity: วัคซีนโควิดของ Pfizer กับ Moderna เป็น mRNA vaccine ไม่ปลอดภัยสำหรับคนที่เคยมีอาการแพ้แบบรุนแรง (anaphylaxis) หรือมีการแ…,979379839147757568,th,,
4,1389462524202995712,RT @rohini_sgh: Dear @drharshvardhan- if you are done with your chaaplusi and low level trolling can you inform citizens why hasn’t the Pfi…,45334561,en,,
5,1389462523179458562,RT @nanaicez: Vaccine Tourism ประเทศที่รอคอยมากที่สุดคือ ญี่ปุ่นกับเกาหลี,288263540,th,,
6,1389462522525151235,"RT @SurrbhiM: 1st May was announced to restart the vaccine drive , but it was announced without any planning .

 #WhereAreVaccines",1177113964590718978,en,,
7,1389462522269290496,RT @nanaicez: Vaccine Tourism ประเทศที่รอคอยมากที่สุดคือ ญี่ปุ่นกับเกาหลี,4706083218,th,,
8,1389462522055610368,"@ianarthurmedia @SaviRoman @michelletandler Are vaccines really a form of ""party control"" as Tucker suggests? No! You didn't see people from either party running around saying ""Kids! Don't put that polio vaccine in your mouth, the sugar hides the bitterness of Communism!""",1260848708016467974,en,,
9,1389462521665490944,RT @bettinamak: it's wild to me how the vaccine discourse has made clear how many americans don't think about other countries or the people…,319282631,en,,
0,1389462521183195137,"RT @ndtv: #LeftRightCentre | “There was a time when people did not want to get vaccinated. Now, the whole country wants to get vaccinated b…",1385852424984817668,en,,
1,1389462520415481858,RT @nanaicez: Vaccine Tourism ประเทศที่รอคอยมากที่สุดคือ ญี่ปุ่นกับเกาหลี,838024052744691713,th,,
2,1389462520142864385,"RT @jaysaran: TPBS สรุปเรื่อง vaccine

Moderna เอกชนเอาเข้าจ่ายเอง
Pfizer ถ้าได้ฉีดในเด็กก่อน
AZ Sinovac ตัวยืน
AZ ให้ในอายุมากกว่า 60
Sput…",1357640948721700865,th,,
3,1389462518683287553,RT @Fa__ek: When the world was stockpiling vaccines for it's citizens our Health Minister was doing drama and promoting Patanjali's fake Co…,886576262537465856,en,,
4,1389462518582726657,"RT @prempanicker: ""Order for vaccines due May 1 was placed on April 28: Centre""

Fixed it for you, pro bono. https://t.co/wvSDwtljET",11016292,en,,
5,1389462516942741506,Ppl who afford should go for antibody test before their first jab of covid vaccine,1216988836686749699,en,,
6,1389462516250537988,"RT @ChitnisPurva: Drive in vaccination centre in Mumbai for senior citizens and specially abled people. 

Location- Dadar

@DighavkarKiran…",75309647,en,,
7,1389462515415977988,@arundathi9 Just hoping that we boost vaccines by opening the market to internationally approved ones.,431860575,en,,
8,1389462515105501185,RT @Ktens: Real time updates for COVID vaccine process at #BKCJUMBO facility 4 today 4th May. @mybmc,17674001,en,,
9,1389462514740641794,"@prasana_acharya This kind of bipartisan effort needed during this time.  Politics can be done later,  but lives of people r more important. Also availability of vaccines to be taken care ASAP.  @sureshkpujari @BJP4Odisha @bjd_odisha @INCOdisha @CMO_Odisha",3348743914,en,,
0,1389462513536876549,RT @RetourMarina: Xavier Bertrand valide la ségrégation par le Pass sanitaire https://t.co/uyNoSbcDbP UNE POURRITURE MONDIALISTE!!!!est il…,1321899238465392641,fr,,
1,1389462512786149377,"केंद्र से 26 करोड़ कोविड-19 वैक्सीन की खुराक के ऑर्डर मिले : अदार पूनावाला
https://t.co/DEDgWsHfBJ

via NaMo App https://t.co/zjdTUxKxUX",1197877720195055617,hi,,
2,1389462512475770882,Makahappy kaayo na nakadawat na ako lola sa first dose sa vaccine today!! 🥺🥺,340001363,tl,,
3,1389462512408535042,RT @rohini_sgh: Dear @drharshvardhan- if you are done with your chaaplusi and low level trolling can you inform citizens why hasn’t the Pfi…,1352024678789877762,en,,
4,1389462511708098560,RT @parisbmws: Because some people deliberately misunderstand (or are a little dumb) mandatory vaccine leave is something to be considered…,706941950,en,,
5,1389462511284416518,RT @ASCALON_dnity: วัคซีนโควิดของ Pfizer กับ Moderna เป็น mRNA vaccine ไม่ปลอดภัยสำหรับคนที่เคยมีอาการแพ้แบบรุนแรง (anaphylaxis) หรือมีการแ…,1008359962735546368,th,,
6,1389462511053799427,RT @ASCALON_dnity: วัคซีนโควิดของ Pfizer กับ Moderna เป็น mRNA vaccine ไม่ปลอดภัยสำหรับคนที่เคยมีอาการแพ้แบบรุนแรง (anaphylaxis) หรือมีการแ…,525288282,th,,
7,1389462509372035074,"RT @kabontle62: @News24 @kaveels Jiki jiki fellow south Africans, vaccine nywaxine, level mang mang, covid is real, can't buy beer, billion…",1400223446,en,,
8,1389462509048918017,"RT @jaysaran: TPBS สรุปเรื่อง vaccine

Moderna เอกชนเอาเข้าจ่ายเอง
Pfizer ถ้าได้ฉีดในเด็กก่อน
AZ Sinovac ตัวยืน
AZ ให้ในอายุมากกว่า 60
Sput…",201212165,th,,
9,1389462508998639616,"RT @RBReich: If we can all agree that the Covid vaccine should be free (of course it should), why can't we agree that insulin should also b…",275216491,en,,
0,1389462508612636672,"RT @forrestmaready: 23. SIDS, or Sudden Infant Death Syndrome, are babies who die from their vaccines. Of course no one wants to say that,…",1154035617681928193,en,,
1,1389462508507906050,RT @PleaseBeGneiss: “we don’t know the long term effects of the vaccine” [gets sunburned at the pool every weekend],420765525,en,,
2,1389462506918354950,also having another birthday on the 13th in full quarantine but the bright side is that 18 and older vaccines are available on the 24th instead of august and i can finally stay safe and boost herd immunity as a belated b-day gift :’-),3697892662,en,,
3,1389462505483870210,RT @nanaicez: Vaccine Tourism ประเทศที่รอคอยมากที่สุดคือ ญี่ปุ่นกับเกาหลี,2955348114,th,,
4,1389462503877267459,"I was a kid who got it. “The rest of the world &amp; the countries... less able to afford vaccines need consideration, as well.There needs to be a creative cooperation among all of us, including the businesses, in order to find ways to satisfy the needs of these other countries.” https://t.co/4hl8YfQIyo https://t.co/zIkTokOrAI",15580650,en,,
5,1389462503734734850,RT @callmefye: Klu nk diikutkan dia ni kelas kayangan. Bnyk advocate kpd benda² positif. Rilek je ambik vaccine yg sama org biasa akn ambik…,3280589382,in,,
6,1389462503688609804,"RT @Angama_Market: ウイルスの進化が速すぎるため、米での集団免疫の獲得は目処がつかないか永遠に不可能とニューヨークタイムズ紙。「ウイルスはこれからも居続ける」と専門家の見解。
Reaching ‘Herd Immunity’ Is Unlikely in th…",3945279974,ja,,
7,1389462503587991562,"RT @TheRickyDavila: All of the millionaire Fox propaganda hosts including their overlord are fully vaccinated, so when they continue to lie…",514863071,en,,
8,1389462503567073281,"India’s biggest Serum Vaccine order covered just 4% of people
https://t.co/v1byimTz5v https://t.co/RBirRSiUkY",2799146719,en,,
